abbreviatedAddress,city,zipcode,latitude,longitude,bathrooms,bedrooms,lotSize,daysOnZillow,Date_sold,price,zestimate,rentZestimate,propertyTaxRate,taxAssessedValue,taxAssessedYear
6831 SW 52nd Ave,Portland,97219,45.47483444,-122.730835,3,4,5227,15,7/7/2021,835000,836900,2995,1.12,577010,2020
2830 SW Dickinson St,Portland,97219,45.44722366,-122.7061691,4,5,10018,15,7/7/2021,780000,783400,2995,1.12,597230,2020
2470 SE Lindenbrook Ct,Milwaukie,97222,45.42461014,-122.6384048,3,3,10018,18,7/7/2021,553000,558100,2499,1.08,436405,2020
2228 NW 118th Ave,Portland,97229,45.53574371,-122.7981339,4,5,5227,16,7/7/2021,845000,849700,3349,1.13,654290,2019
6440 SE Laura Ave,Portland,97222,45.45166016,-122.5966187,1,1,8276,18,7/7/2021,320000,305800,1558,1.08,199725,2020
6216 N Villard Ave,Portland,97217,45.5677681,-122.6972885,3,4,4791,16,7/7/2021,876000,880200,2928,1.12,641700,2020
4824 NE 7th Ave,Portland,97211,45.55771637,-122.6582489,1,2,3920,19,7/7/2021,565000,567300,2465,1.12,479470,2020
6227 SE Clinton St,Portland,97206,45.50341415,-122.598671,1,3,5000,18,7/7/2021,584000,571800,2594,1.12,483920,2020
3730 SE 73rd Ave,Portland,97206,45.49505997,-122.5876541,3,3,7405,18,7/7/2021,643000,647200,2563,1.12,378480,2020
3306 SE 31st Ave,Portland,97202,45.49892807,-122.6332474,2,3,5227,18,7/7/2021,630000,632800,2795,1.12,610530,2020
5412 SE Holgate Blvd,Portland,97206,45.49010468,-122.6067886,1,3,3920,18,7/7/2021,500000,503300,2578,1.12,356790,2020
4735 SE 49th Ave,Portland,97206,45.4879303,-122.6119537,2,3,7405,18,7/7/2021,550000,553600,2500,1.12,479070,2020
5353 SE 38th Ave,Portland,97202,45.48387909,-122.6239243,2,3,5227,19,7/7/2021,553000,555600,2639,1.12,430660,2020
6022 SE Woodstock Blvd,Portland,97206,45.47895432,-122.601532,2,3,4791,19,7/7/2021,585000,589100,2497,1.12,523640,2020
3726 SE Lafayette Ct,Portland,97202,45.49591446,-122.6244888,1,3,5227,19,7/7/2021,500000,502400,2564,1.12,460670,2020
3645 SE Center St,Portland,97202,45.49427032,-122.6255798,2,3,4791,19,7/7/2021,580000,582800,2600,1.12,410420,2020
7333 SE 46th Ave,Portland,97206,45.46998215,-122.6152649,3,3,2613,19,7/7/2021,520000,522500,2562,1.12,359680,2020
4751 SE 59th Ave,Portland,97206,45.48802185,-122.602829,1,3,5227,19,7/7/2021,495475,497500,1995,1.12,329290,2020
5510 SE Woodward St,Portland,97206,45.50124359,-122.6056976,2,3,8276,16,7/7/2021,651000,654100,2849,1.12,676570,2020
6555 SW 67th Ave,Portland,97223,45.47251129,-122.7468491,2,3,11325,12,7/7/2021,742000,743100,2395,1.13,468100,2019
755 S Miles St,Portland,97219,45.47142792,-122.6705093,3,3,3049,16,7/7/2021,675000,598300,2732,1.12,457640,2020
4643 N Haight Ave,Portland,97217,45.55665588,-122.6703339,2,3,4356,15,7/7/2021,740000,745700,2880,1.12,641740,2020
880 NW 87th Ave,Portland,97229,45.52580261,-122.7659149,3,3,10018,15,7/7/2021,751000,754800,3391,1.13,611430,2019
