abbreviatedaddress,city,zipcode,latitude,longitude,bathrooms,bedrooms,lotsize,date_sold,price,zestimate,median_income
6270 NW Oats Ter,Portland,97229,45.56505585,-122.8416138,3,5,8276,2/26/2021,617500,669300,70082
4646 NW Oxbridge Dr,Portland,97229,45.55316544,-122.8095322,3,5,3484,11/4/2020,613000,702000,70082
625 NW 87th Ter,Portland,97229,45.52425385,-122.7664566,2,4,10018,7/8/2020,635000,744500,70082
5346 NW Paseo Ter,Portland,97229,45.55823898,-122.8402252,3,4,6969,4/1/2021,120000,757200,70082
1605 NW 131st Ave,Portland,97229,45.53129959,-122.8122177,2,3,7405,4/1/2021,552000,587000,70082
25 NW 95th Ave,Portland,97229,45.51971817,-122.7758789,3,5,17859,9/24/2020,750000,865600,70082
13800 NW Springville Rd,Portland,97229,45.56662369,-122.8190613,5,5,124146,9/24/2020,2700000,3008800,70082
1138 NW 99th Ave,Portland,97229,45.52799225,-122.7785721,3,4,3920,10/29/2020,699900,799300,70082
5715 NW 132nd Ave,Portland,97229,45.56083298,-122.8132019,3,5,6098,5/23/2021,893000,918200,70082
2419 NW Birkendene St,Portland,97229,45.54066467,-122.7751083,3,4,8276,11/23/2020,677000,740300,70082
11135 NW Malia Ln,Portland,97229,45.54458618,-122.7914047,5,4,5662,11/2/2020,890000,1014800,70082
14941 NW Orchid St,Portland,97229,45.57206726,-122.830574,3,3,2178,5/17/2021,535000,554800,70082
2278 NW Jessamine Way,Portland,97229,45.53609085,-122.8110123,3,4,6534,11/19/2020,795000,899400,70082
3063 NW Parkhurst Ter,Portland,97229,45.54163742,-122.7854996,3,5,6969,4/1/2021,750000,790400,70082
16448 NW Racely Ct,Portland,97229,45.55792618,-122.8471069,3,4,9147,4/1/2021,660000,695600,70082
12756 NW Ethan Dr,Portland,97229,45.55947876,-122.8079453,3,4,5227,6/11/2021,680000,690100,70082
3741 NW 115th Ave,Portland,97229,45.54652786,-122.7961044,3,4,8276,11/4/2020,650000,744700,70082
12225 NW Old Quarry Rd,Portland,97229,45.5354805,-122.8024597,3,4,30491,11/19/2020,1037400,1173600,70082
8733 NW Savoy Ln,Portland,97229,45.53370285,-122.7678909,3,4,6969,9/24/2020,845000,975300,70082
12301 NW Laidlaw Rd,Portland,97229,45.55506134,-122.8037262,2,5,183822,4/14/2021,3000000,1239000,70082
3447 NW 115th Ave,Portland,97229,45.5447998,-122.7960587,3,3,7405,10/19/2020,623000,719000,70082
16860 NW Oakridge Dr,Portland,97229,45.55532455,-122.8506775,3,4,5227,3/26/2021,593500,633600,70082
15082 NW Channa Dr,Portland,97229,45.55086136,-122.8321533,3,4,8276,11/19/2020,630000,716800,70082
9832 NW Thompson Rd,Portland,97229,45.54851532,-122.7775192,4,4,13939,7/15/2021,1050000,1050800,70082
3459 NW 115th Ave,Portland,97229,45.54483414,-122.7956696,3,4,5227,11/19/2020,630000,716800,70082
7138 NW Summitview Dr,Portland,97229,45.5353241,-122.7501297,3,4,92782,5/23/2021,975000,996700,70082
9707 NW Henry Ct,Portland,97229,45.54601288,-122.7764282,4,4,8276,10/29/2020,960000,1060500,70082
1626 NW Caitlin Ter,Portland,97229,45.53116226,-122.8072205,3,4,7840,11/19/2020,615000,699800,70082
7399 NW 165th Ave,Portland,97229,45.57313919,-122.8477936,3,4,3920,3/9/2021,561000,604100,70082
14740 NW Hydrangea Ct,Portland,97229,45.57020187,-122.8290329,3,4,3484,11/19/2020,580000,659900,70082
15232 NW Marianna St,Portland,97229,45.56985092,-122.8338242,5,4,1742,7/10/2020,485000,566800,70082
3268 NW Blue Sky Ln,Portland,97229,45.54529953,-122.7686844,4,4,6534,11/2/2020,895000,983900,70082
15351 NW Decatur Way,Portland,97229,45.55756378,-122.8357468,3,3,5227,11/19/2020,503000,572300,70082
430 NW Skyline Blvd,Portland,97229,45.52567291,-122.747818,3,4,34412,3/9/2021,530000,562800,70082
17065 NW Stoller Dr,Portland,97229,45.55474091,-122.8532028,2,3,5662,3/9/2021,545149,587000,70082
4135 NW Niblick Pl,Portland,97229,45.54981995,-122.8404694,3,3,8712,6/1/2021,855000,875500,70082
14841 NW Applegate Ln,Portland,97229,45.55910873,-122.829567,2,3,13068,3/9/2021,777000,828900,70082
3578 NW 106th Pl,Portland,97229,45.54525375,-122.7858047,4,5,6969,7/16/2020,810000,944800,70082
16772 NW Viola St,Portland,97229,45.57321167,-122.8497696,3,4,3049,7/12/2021,670000,670600,70082
7915 NW Gales Ridge Ln,Portland,97229,45.54031372,-122.7582245,6,5,33541,11/19/2020,1885000,2063100,70082
140 NW 89th Ave,Portland,97229,45.52059555,-122.7683182,3,4,10018,7/15/2021,754600,755300,70082
1314 NW Abernethy Rd,Portland,97229,45.53287506,-122.7619553,4,4,9583,7/5/2020,1050000,1185540,70082
2555 NW 121st Pl,Portland,97229,45.5381012,-122.8023148,3,3,10454,5/26/2021,642000,662500,70082
