,address,city,zipcode,latitude,longitude,bathrooms,bedrooms,lotsize,date_sold,price,zestimate,median_income
4384,13389 SW Shakespeare St,King City,97224,45.39455414,-122.81488799999998,3,3,5227,12/2/2020,519500,581600,46558.0
4385,14325 SW 114th Ave,Tigard,97224,45.41632843,-122.79446409999998,2,3,19166,6/15/2021,450000,455800,46558.0
4386,15732 SW Barrington Ter,Tigard,97224,45.40617371,-122.8217087,3,4,7405,12/2/2020,567000,634800,46558.0
4387,8395 SW Colton Ln,Tigard,97224,45.40531158,-122.7634125,3,3,3049,6/15/2021,510000,516300,46558.0
4388,10130 SW Kent Pl,Tigard,97224,45.40050125,-122.781517,3,4,13939,9/13/2020,500000,579400,46558.0
4389,16185 SW Grimson Ct,Tigard,97224,45.40261078,-122.779808,3,3,11761,9/10/2020,535000,620600,46558.0
4390,14280 SW Fanno Creek Loop,Tigard,97224,45.4161911,-122.7616043,3,3,3920,12/4/2020,415000,464400,46558.0
4391,16718 SW Jordan Way,Tigard,97224,45.39846802,-122.8091507,2,3,5227,9/10/2020,437000,506900,46558.0
4392,9455 SW Mcdonald St,Tigard,97224,45.41903305,-122.7743912,2,3,14810,9/10/2020,540000,604156,46558.0
4393,13248 SW Maxfield Ln,King City,97224,45.399658200000005,-122.8131256,3,3,2178,9/10/2020,479900,554700,46558.0
4394,9455 SW McDonald St,Tigard,97224,45.41903305,-122.7743912,2,3,14810,9/10/2020,540000,626600,46558.0
4395,16933 SW Monterey Ln,King City,97224,45.39727783,-122.8077393,2,2,5227,12/4/2020,328000,393900,46558.0
4396,10128 SW Lady Marion Dr,Tigard,97224,45.41031265,-122.7816696,4,5,22215,12/4/2020,810000,906500,46558.0
4397,17254 SW Montague Way,King City,97224,45.39505768,-122.81698610000001,3,3,3484,12/4/2020,441500,494100,46558.0
4398,12610 SW Prince Albert St,King City,97224,45.40436935,-122.806633,1,2,4356,12/4/2020,315000,352500,46558.0
4399,14443 SW Foran Ter,Tigard,97224,45.41526413,-122.81282809999999,3,4,5662,12/4/2020,580000,652600,46558.0
4400,14760 SW 83rd Ave,Tigard,97224,45.41318512,-122.76226809999999,2,4,7840,3/9/2021,505000,538700,46558.0
4401,7931 SW Kelso Ct,Tigard,97224,45.40705872,-122.75855259999999,3,3,3920,6/15/2021,604900,643510,46558.0
4402,8615 SW Schmidt Loop,Tigard,97224,45.40874481,-122.7657852,3,5,4791,4/14/2021,602000,630000,46558.0
